ADM1_PCODE,ADM1_EN,ADM2_PCODE,ADM2_EN,ADM3_PCODE,ADM3_EN,AREA_SQKM,NUM_HOUSEHOLDS,POPULATION,POPULATION_DENSITY,Average_Household_Size
ZW11,Manicaland,ZW1107,Nyanga,ZW110718,18,125.1514836,1208,4136,33.04795021,3.42384106
ZW11,Manicaland,ZW1107,Nyanga,ZW110719,19,64.84973366,1066,3802,58.62784294,3.566604128
ZW11,Manicaland,ZW1107,Nyanga,ZW110720,20,316.7080851,1413,2675,8.446263693,1.893135173
ZW11,Manicaland,ZW1107,Nyanga,ZW110721,21,193.9585559,2059,8189,42.22035973,3.977173385
ZW11,Manicaland,ZW1107,Nyanga,ZW110722,22,34.37241127,874,3213,93.47613045,3.676201373
ZW11,Manicaland,ZW1107,Nyanga,ZW110723,23,533.4068035,1536,6567,12.31142902,4.275390625
ZW11,Manicaland,ZW1107,Nyanga,ZW110724,24,124.1594669,758,2422,19.50717138,3.19525066
ZW11,Manicaland,ZW1107,Nyanga,ZW110725,25,593.4048448,984,2486,4.189382715,2.526422764
ZW11,Manicaland,ZW1107,Nyanga,ZW110726,26,277.5872007,1259,3022,10.8866691,2.400317712
ZW11,Manicaland,ZW1107,Nyanga,ZW110727,27,88.47908298,721,2659,30.05230062,3.687933426
ZW11,Manicaland,ZW1107,Nyanga,ZW110728,28,80.65477346,273,833,10.327969,3.051282051
ZW11,Manicaland,ZW1107,Nyanga,ZW110729,29,13.48952213,1762,5683,421.2899422,3.225312145
ZW11,Manicaland,ZW1107,Nyanga,ZW110730,30,150.2283586,1048,3990,26.55956597,3.807251908
ZW11,Manicaland,ZW1107,Nyanga,ZW110731,31,8.494284691,678,2553,300.5550312,3.765486726
ZW11,Manicaland,ZW1121,Mutare Urban,ZW112101,1,0.47048699,2247,7401,15730.50937,3.293724967
ZW11,Manicaland,ZW1121,Mutare Urban,ZW112102,2,0.425428749,1361,4623,10866.68452,3.396767083
ZW11,Manicaland,ZW1121,Mutare Urban,ZW112103,3,2.3513097,1866,6568,2793.336837,3.51982851
ZW11,Manicaland,ZW1121,Mutare Urban,ZW112104,4,0.63938235,1976,6692,10466.35085,3.386639676
ZW11,Manicaland,ZW1121,Mutare Urban,ZW112105,5,1.622700192,2308,8404,5179.022004,3.641247834
ZW11,Manicaland,ZW1121,Mutare Urban,ZW112106,6,1.276875039,1254,4855,3802.251475,3.871610845
ZW11,Manicaland,ZW1121,Mutare Urban,ZW112107,7,35.94827026,1772,7459,207.4925983,4.209367946
ZW11,Manicaland,ZW1121,Mutare Urban,ZW112108,8,1.450033381,1538,5737,3956.46064,3.730169051
ZW11,Manicaland,ZW1121,Mutare Urban,ZW112109,9,2.474754186,1862,6926,2798.661799,3.719656284
ZW11,Manicaland,ZW1121,Mutare Urban,ZW112110,10,8.235322282,1002,3151,382.62012,3.144710579
ZW11,Manicaland,ZW1121,Mutare Urban,ZW112111,11,23.06047126,3580,11616,503.7191074,3.244692737
ZW11,Manicaland,ZW1121,Mutare Urban,ZW112112,12,24.51952171,4040,15337,625.5015976,3.796287129
ZW11,Manicaland,ZW1121,Mutare Urban,ZW112113,13,33.03386025,1735,7600,230.0669659,4.380403458
ZW11,Manicaland,ZW1121,Mutare Urban,ZW112114,14,1.583491693,5388,19376,12236.24985,3.596139569
ZW11,Manicaland,ZW1121,Mutare Urban,ZW112115,15,9.222255266,5767,22150,2401.798623,3.84081845
ZW11,Manicaland,ZW1121,Mutare Urban,ZW112116,16,4.27331333,6608,24895,5825.690296,3.767403148
ZW11,Manicaland,ZW1121,Mutare Urban,ZW112117,17,7.250278376,11272,43638,6018.80338,3.871362669
ZW11,Manicaland,ZW1121,Mutare Urban,ZW112118,18,4.081548679,4206,16212,3972.021719,3.854493581
ZW11,Manicaland,ZW1121,Mutare Urban,ZW112119,19,29.2827198,573,2164,73.90023927,3.776614311
ZW11,Manicaland,ZW1122,Rusape Town,ZW112201,1,1.545833441,1095,3890,2516.441873,3.552511416
ZW11,Manicaland,ZW1122,Rusape Town,ZW112202,2,0.180628683,407,1412,7817.141659,3.469287469
ZW11,Manicaland,ZW1122,Rusape Town,ZW112203,3,0.207668951,406,1351,6505.546407,3.327586207
ZW11,Manicaland,ZW1122,Rusape Town,ZW112204,4,0.46166252,852,3025,6552.405417,3.550469484
ZW11,Manicaland,ZW1122,Rusape Town,ZW112205,5,0.939145569,611,2317,2467.136168,3.792144026
ZW11,Manicaland,ZW1122,Rusape Town,ZW112206,6,0.895783592,2022,7008,7823.318111,3.465875371
ZW11,Manicaland,ZW1122,Rusape Town,ZW112207,7,0.900037872,229,737,818.8544315,3.218340611
ZW11,Manicaland,ZW1122,Rusape Town,ZW112208,8,1.904092377,1609,5394,2832.845752,3.352392791
ZW11,Manicaland,ZW1122,Rusape Town,ZW112209,9,4.660187359,2135,8166,1752.290063,3.824824356
ZW11,Manicaland,ZW1122,Rusape Town,ZW112210,10,5.263956318,1200,4606,875.0072611,3.838333333
ZW11,Manicaland,ZW1123,Chipinge Urban,ZW112301,1,0.582604709,917,3561,6112.206,3.883315158
ZW11,Manicaland,ZW1123,Chipinge Urban,ZW112302,2,0.907021068,1351,4975,5484.98836,3.682457439
ZW11,Manicaland,ZW1123,Chipinge Urban,ZW112303,3,0.350303598,868,3239,9246.265288,3.73156682
ZW11,Manicaland,ZW1123,Chipinge Urban,ZW112304,4,0.440417011,883,3013,6841.243462,3.412231031
ZW11,Manicaland,ZW1123,Chipinge Urban,ZW112305,5,0.349744158,645,2256,6450.429405,3.497674419
ZW11,Manicaland,ZW1123,Chipinge Urban,ZW112306,6,0.75225438,938,3624,4817.519307,3.863539446
ZW11,Manicaland,ZW1123,Chipinge Urban,ZW112307,7,12.2852256,1476,5668,461.3671888,3.840108401
ZW11,Manicaland,ZW1123,Chipinge Urban,ZW112308,8,12.91699332,2275,8623,667.5702143,3.79032967
ZW12,Mashonaland Central,ZW1201,Bindura Rural,ZW120101,1,131.5605564,1372,6335,48.15273039,4.617346939
ZW12,Mashonaland Central,ZW1201,Bindura Rural,ZW120102,2,190.3444199,1895,8415,44.20933381,4.440633245
ZW12,Mashonaland Central,ZW1201,Bindura Rural,ZW120103,3,214.9063107,2431,10185,47.39274508,4.189633896
ZW12,Mashonaland Central,ZW1201,Bindura Rural,ZW120104,4,164.6024831,1868,8552,51.95547382,4.578158458
ZW12,Mashonaland Central,ZW1201,Bindura Rural,ZW120105,5,176.0685805,1552,6528,37.07646181,4.206185567
ZW12,Mashonaland Central,ZW1201,Bindura Rural,ZW120106,6,103.4390771,4865,19253,186.1288842,3.957451182
ZW12,Mashonaland Central,ZW1201,Bindura Rural,ZW120107,7,108.2078739,2401,10032,92.71044366,4.178259059
ZW12,Mashonaland Central,ZW1201,Bindura Rural,ZW120108,8,128.1776123,1395,6078,47.41857716,4.356989247
ZW12,Mashonaland Central,ZW1201,Bindura Rural,ZW120109,9,46.50900492,1156,4669,100.3891614,4.038927336
ZW12,Mashonaland Central,ZW1201,Bindura Rural,ZW120110,10,93.44740675,3497,14098,150.8656098,4.031455533
ZW12,Mashonaland Central,ZW1201,Bindura Rural,ZW120111,11,58.27580185,1294,5200,89.23086144,4.018547141
ZW12,Mashonaland Central,ZW1201,Bindura Rural,ZW120112,12,68.77101803,901,3570,51.91140254,3.962264151
ZW12,Mashonaland Central,ZW1201,Bindura Rural,ZW120113,13,40.71050857,975,3764,92.45770029,3.860512821
ZW12,Mashonaland Central,ZW1201,Bindura Rural,ZW120114,14,50.85599306,1184,5039,99.08370079,4.255912162
ZW12,Mashonaland Central,ZW1201,Bindura Rural,ZW120115,15,52.43971384,1564,6114,116.5910253,3.909207161
ZW12,Mashonaland Central,ZW1201,Bindura Rural,ZW120116,16,62.72270986,2995,12069,192.4183446,4.029716194
ZW12,Mashonaland Central,ZW1201,Bindura Rural,ZW120117,17,58.14397464,1648,6333,108.9192825,3.842839806
ZW12,Mashonaland Central,ZW1201,Bindura Rural,ZW120118,18,31.49151871,1083,4195,133.2104698,3.873499538
ZW12,Mashonaland Central,ZW1201,Bindura Rural,ZW120119,19,159.5768917,1993,8251,51.70548137,4.139989965
ZW12,Mashonaland Central,ZW1201,Bindura Rural,ZW120120,20,148.9912491,2352,9513,63.84938752,4.044642857
ZW12,Mashonaland Central,ZW1201,Bindura Rural,ZW120121,21,153.2307651,2834,11648,76.01606629,4.110091743
ZW12,Mashonaland Central,ZW1202,Muzarabani,ZW120201,1,187.8379558,1864,8307,44.22428878,4.456545064
ZW12,Mashonaland Central,ZW1202,Muzarabani,ZW120202,2,287.6620661,1378,6291,21.86941116,4.565312046
ZW12,Mashonaland Central,ZW1202,Muzarabani,ZW120203,3,96.66023724,639,2771,28.66742395,4.336463224
ZW12,Mashonaland Central,ZW1202,Muzarabani,ZW120204,4,162.3888443,1202,5355,32.97640317,4.455074875
ZW12,Mashonaland Central,ZW1202,Muzarabani,ZW120205,5,120.3447927,1150,5207,43.26734778,4.527826087
ZW12,Mashonaland Central,ZW1202,Muzarabani,ZW120206,6,76.43859812,515,2055,26.8843235,3.990291262
ZW12,Mashonaland Central,ZW1202,Muzarabani,ZW120207,7,98.37913791,342,1423,14.46444877,4.160818713
ZW12,Mashonaland Central,ZW1202,Muzarabani,ZW120208,8,71.51074749,1476,5714,79.90407318,3.871273713
ZW12,Mashonaland Central,ZW1202,Muzarabani,ZW120209,9,163.9915065,1133,4799,29.26371068,4.235657546
ZW12,Mashonaland Central,ZW1202,Muzarabani,ZW120210,10,148.3760944,2157,9131,61.53956296,4.233194251
ZW12,Mashonaland Central,ZW1202,Muzarabani,ZW120211,11,102.6576972,982,4348,42.35434962,4.427698574
ZW12,Mashonaland Central,ZW1202,Muzarabani,ZW120212,12,120.6796608,1174,4751,39.36868871,4.046848382
ZW12,Mashonaland Central,ZW1202,Muzarabani,ZW120213,13,135.4231233,745,3039,22.44077618,4.079194631
ZW12,Mashonaland Central,ZW1202,Muzarabani,ZW120214,14,185.9911995,1856,7670,41.23851031,4.132543103
ZW12,Mashonaland Central,ZW1202,Muzarabani,ZW120215,15,6.423284366,1297,4656,724.862817,3.589822668
ZW12,Mashonaland Central,ZW1202,Muzarabani,ZW120216,16,39.93528492,393,1704,42.66903325,4.335877863
ZW12,Mashonaland Central,ZW1202,Muzarabani,ZW120217,17,157.4544905,1320,5643,35.83892706,4.275
ZW12,Mashonaland Central,ZW1202,Muzarabani,ZW120218,18,122.4825663,491,2152,17.56984741,4.382892057
ZW12,Mashonaland Central,ZW1202,Muzarabani,ZW120219,19,96.24212073,645,2776,28.84391968,4.303875969
ZW12,Mashonaland Central,ZW1202,Muzarabani,ZW120220,20,31.95664814,349,1483,46.40661916,4.249283668
ZW12,Mashonaland Central,ZW1202,Muzarabani,ZW120221,21,74.94793256,609,2617,34.91757425,4.297208539
ZW12,Mashonaland Central,ZW1202,Muzarabani,ZW120222,22,48.6156598,732,3302,67.92050161,4.510928962
ZW12,Mashonaland Central,ZW1202,Muzarabani,ZW120223,23,330.2484213,1958,9301,28.16364712,4.750255363
ZW12,Mashonaland Central,ZW1202,Muzarabani,ZW120224,24,204.5947224,1413,6623,32.37131398,4.687190375
ZW12,Mashonaland Central,ZW1202,Muzarabani,ZW120225,25,82.83576342,748,3200,38.63065744,4.278074866
ZW12,Mashonaland Central,ZW1202,Muzarabani,ZW120226,26,143.3504295,1237,5258,36.67934597,4.250606306
ZW12,Mashonaland Central,ZW1202,Muzarabani,ZW120227,27,148.7889325,1006,4467,30.02239432,4.440357853
ZW12,Mashonaland Central,ZW1202,Muzarabani,ZW120228,28,163.1618606,1389,5968,36.57717544,4.296616271
ZW12,Mashonaland Central,ZW1202,Muzarabani,ZW120229,29,657.095676,900,4065,6.186313727,4.516666667
ZW12,Mashonaland Central,ZW1203,Guruve,ZW120301,1,350.7992129,3174,13449,38.3381704,4.237240076
ZW12,Mashonaland Central,ZW1203,Guruve,ZW120302,2,120.1152108,1237,5970,49.70228135,4.826192401
ZW12,Mashonaland Central,ZW1203,Guruve,ZW120303,3,222.4376412,532,2658,11.94941641,4.996240602
ZW12,Mashonaland Central,ZW1203,Guruve,ZW120304,4,70.71746516,1185,5020,70.9867073,4.23628692
ZW12,Mashonaland Central,ZW1203,Guruve,ZW120305,5,38.7549199,1504,5928,152.9612244,3.941489362
ZW12,Mashonaland Central,ZW1203,Guruve,ZW120306,6,31.03800498,3212,11135,358.7537281,3.466687422
ZW12,Mashonaland Central,ZW1203,Guruve,ZW120307,7,84.11882348,1934,7408,88.06590123,3.830403309
ZW12,Mashonaland Central,ZW1203,Guruve,ZW120308,8,54.06211443,1197,4709,87.10351138,3.934001671
ZW12,Mashonaland Central,ZW1203,Guruve,ZW120309,9,53.65518812,1250,4901,91.34251825,3.9208
ZW12,Mashonaland Central,ZW1203,Guruve,ZW120310,10,60.89601772,1148,4641,76.21188009,4.042682927
ZW12,Mashonaland Central,ZW1203,Guruve,ZW120311,11,74.18808855,1809,7098,95.67573634,3.92371476
ZW12,Mashonaland Central,ZW1203,Guruve,ZW120312,12,59.79305748,1788,6837,114.3443786,3.823825503
ZW12,Mashonaland Central,ZW1203,Guruve,ZW120313,13,272.6448981,2542,11663,42.77725379,4.588119591
ZW12,Mashonaland Central,ZW1203,Guruve,ZW120314,14,274.6289969,1474,6101,22.21542543,4.139077341
ZW12,Mashonaland Central,ZW1203,Guruve,ZW120315,15,64.05605636,693,3062,47.80188126,4.418470418
ZW12,Mashonaland Central,ZW1203,Guruve,ZW120316,16,186.0756629,1866,7912,42.52033757,4.240085745
ZW12,Mashonaland Central,ZW1203,Guruve,ZW120317,17,112.4792352,644,3110,27.64954789,4.829192547
ZW12,Mashonaland Central,ZW1203,Guruve,ZW120318,18,73.03612977,1202,4911,67.24069328,4.085690516
ZW12,Mashonaland Central,ZW1203,Guruve,ZW120319,19,161.5391503,2151,9093,56.28976,4.227336123
ZW12,Mashonaland Central,ZW1203,Guruve,ZW120320,20,132.3630835,1127,4674,35.31196067,4.1472937
ZW12,Mashonaland Central,ZW1203,Guruve,ZW120321,21,177.0608418,1724,7725,43.62907078,4.480858469
ZW12,Mashonaland Central,ZW1203,Guruve,ZW120322,22,47.50151716,2539,10175,214.2036846,4.007483261
ZW12,Mashonaland Central,ZW1203,Guruve,ZW120323,23,89.10528715,705,2992,33.5782544,4.243971631
ZW12,Mashonaland Central,ZW1203,Guruve,ZW120324,24,183.2624616,569,2434,13.2814979,4.277680141
ZW12,Mashonaland Central,ZW1204,Mazowe,ZW120401,1,81.20586914,1571,6489,79.90801735,4.130490134
ZW12,Mashonaland Central,ZW1204,Mazowe,ZW120402,2,83.43345721,1295,5379,64.47053951,4.153667954
ZW12,Mashonaland Central,ZW1204,Mazowe,ZW120403,3,71.32791438,1428,5682,79.66025713,3.978991597
ZW12,Mashonaland Central,ZW1204,Mazowe,ZW120404,4,74.8544262,1167,4710,62.92213085,4.035989717
ZW12,Mashonaland Central,ZW1204,Mazowe,ZW120405,5,74.55309154,1585,6281,84.248686,3.962776025
ZW12,Mashonaland Central,ZW1204,Mazowe,ZW120406,6,70.96276146,1682,6596,92.95015956,3.921521998
ZW12,Mashonaland Central,ZW1204,Mazowe,ZW120407,7,60.66263707,1569,6283,103.5728136,4.00446144
ZW12,Mashonaland Central,ZW1204,Mazowe,ZW120408,8,72.27818442,3073,11797,163.2166067,3.838919623
ZW12,Mashonaland Central,ZW1204,Mazowe,ZW120409,9,50.09120409,2188,8172,163.1424149,3.734917733
ZW12,Mashonaland Central,ZW1204,Mazowe,ZW120410,10,64.27533703,2237,9032,140.5204612,4.037550291
ZW12,Mashonaland Central,ZW1204,Mazowe,ZW120411,11,47.54780954,1844,7288,153.2773028,3.952277657
ZW12,Mashonaland Central,ZW1204,Mazowe,ZW120412,12,55.1298841,2602,10380,188.2826378,3.989239047
ZW12,Mashonaland Central,ZW1204,Mazowe,ZW120413,13,48.84937465,1921,7566,154.8842755,3.93857366
ZW12,Mashonaland Central,ZW1204,Mazowe,ZW120414,14,114.6478058,2525,10229,89.2210708,4.051089109
ZW12,Mashonaland Central,ZW1204,Mazowe,ZW120415,15,8.106027164,1505,5855,722.3020453,3.890365449
ZW12,Mashonaland Central,ZW1204,Mazowe,ZW120416,16,133.2739117,3678,14646,109.8939756,3.982055465
ZW12,Mashonaland Central,ZW1204,Mazowe,ZW120417,17,3.333483747,1885,7032,2109.504811,3.730503979
ZW12,Mashonaland Central,ZW1204,Mazowe,ZW120418,18,123.6440138,1672,6931,56.0560903,4.145334928
ZW12,Mashonaland Central,ZW1204,Mazowe,ZW120419,19,192.3078833,2613,10093,52.48354787,3.862610027
ZW12,Mashonaland Central,ZW1204,Mazowe,ZW120420,20,184.4742319,5127,18515,100.3663212,3.611273649
